,Unnamed: 0,Name,Price,Cpu,Ram,Rom
0,0,Laptop Apple MacBook Air 13 inch M1 2020 8-core CPU/8GB/256GB/7-core GPU (MGN63SA/A),18.390.000₫,Apple M1,8 GB,256 GB SSD
1,1,Laptop Apple MacBook Pro 16 inch M1 Pro 2021 10 core-CPU/16GB/512GB/16 core-GPU (MK1E3SA/A),39.990.000₫,Apple M1 Pro 200GB/s,8 GB,256 GB SSD
2,2,Laptop Apple MacBook Air 13 inch M2 2022 8-core CPU/8GB/256GB/8-core GPU (MLY13SA/A),27.390.000₫,Apple M2 100GB/s,8 GB,256 GB SSD
3,3,Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/8GB/256GB/10-core GPU (MNEP3SA/A),29.590.000₫,Apple M2 100GB/s,8 GB,256 GB SSD
4,4,Laptop Apple MacBook Air 13 inch M2 2022 8-core CPU/16GB/512GB/10-core GPU (Z15Z0003L),37.990.000₫,Apple M2 100GB/s,8 GB,256 GB SSD
5,5,Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/16GB/512GB/10-core GPU (Z16U),38.390.000₫,Apple M2 100GB/s,8 GB,256 GB SSD
6,6,MacBook Air 15'' 8GB/256GB MacBook Air 15'' 16GB/256GB MacBook Air 15'' 8GB/512GB,,Apple M2 100GB/s,8 GB,256 GB SSD
7,7,MacBook Air 15'' 8GB/256GB MacBook Air 15'' 16GB/256GB MacBook Air 15'' 8GB/512GB,,Apple M2 100GB/s,8 GB,256 GB SSD
8,8,Laptop Apple MacBook Pro 13 inch M1 2020 8-core CPU/16GB/512GB/8-core GPU (Z11C),34.990.000₫,Apple M1,8 GB,256 GB SSD
9,9,MacBook Air 15'' 8GB/256GB MacBook Air 15'' 16GB/256GB MacBook Air 15'' 8GB/512GB,,Apple M2 100GB/s,8 GB,256 GB SSD
